No.,Time,Comment,Scramble,Date,P.1
46,14.12,,U2 R' F' D2 R2 B U2 B2 R2 B2 F' R2 F' L B R2 U' F R D' L,2022-07-20 12:16:40,14.12
47,13.64,,L2 B2 R U2 R' D2 L U2 L' F2 U2 L' D' B2 R D' U2 B U F',2022-07-20 12:17:12,13.64
48,13.41,,U R2 B2 F2 R2 D' F2 D2 U R2 U' F' D2 U' R2 U F U' R' B' D,2022-07-20 12:17:47,13.41
49,14.13,,F' U' F2 L2 D B2 R2 D B2 U L2 F2 U L U' F U L2 F' L R',2022-07-20 12:18:30,14.13
50,17.22,,D' R' L2 B2 F2 U L2 B2 R2 U2 R2 F2 D' L2 R' D U' F' L R' D,2022-07-20 12:19:18,17.22
51,15.83,,B D2 B' U2 F D2 U2 F U2 F' L B D' F' R' U R2 D2 L D',2022-07-20 12:19:59,15.83
52,15.79,,U L2 U' F2 R2 U L2 U2 L2 F2 R2 L' F D2 U' L D2 R2 D,2022-07-20 12:20:46,15.79
53,16.66,,B2 L U2 L' R' B2 D2 U2 R' U2 L D2 F' R D L' R2 D' B F' D,2022-07-20 12:21:24,16.66
54,15.41,,U' L U' L2 D2 U F2 D' B2 L2 F2 R B' F' L' D' R' B' R,2022-07-20 12:22:21,15.41
55,15.00,,U F R' D2 F2 U L2 U2 R2 U' L2 R2 B U' B' D' R' B' L2,2022-07-20 12:22:53,15.00
56,11.82,,U2 F' R2 U L2 F2 U R2 F2 R2 U' R2 U2 F' L' F' U2 L2 R2 F',2022-07-20 12:23:31,11.82
57,13.29,,L2 B2 F2 R2 D F2 D' B2 R2 D' U' L' F L2 U B2 R D B2 D2 R2,2022-07-20 12:24:11,13.29
58,13.41,,B U D2 R D2 L F2 R' F2 U2 L B2 L F' R' F' U R2 F U',2022-07-20 12:24:56,13.41
59,18.41,,F' L' B' L F2 U' R F2 B U2 R2 U' F2 D2 B2 R2 U' R2 F2 D' F2,2022-07-20 12:25:56,18.41
60,14.75,,D2 U2 L' D2 U2 R F2 L' U2 L' D F L2 D' F U L2 R' B,2022-07-20 12:26:37,14.75
